"start","end","text"
"349800","351780"," использовали все, что могли, но"
"351780","352760"," нам и не нужно было."
"353480","354920"," Ни один из зрителей не"
"354920","356300"," сумеет упрекнуть нас в том,"
"356400","357840"," что в схватке мне поддались."
"358340","360320"," «Что за глупое представление!"
"360860","362580"," Да и арморочные бойцы бьются"
"362580","364760"," лучше!» Я потянулся к"
"364760","365160"," брови. "
"365720","367380"," Который раз люди доказывают мне,"
"367500","369000"," что пределов их глупости нет."
"369660","370960"," Некоторые даже глаза где-то"
"370960","372640"," забыли и не могут понять,"
"372740","374080"," что же они ими видят,"
"374520","375600"," не в силах даже оценить"
"375600","377280"," разницу в размерах сути стихии."
"377800","379520"," И это, между прочим, теперь"
"379520","380360"," тоже мои люди. "
"380940","381380"," Наверное."
"381960","383000"," Если не избегут к тому"
"383000","384480"," моменту, когда я добуду ключ."
"385180","386520"," А я, пожалуй, позабочусь о"
"386520","388220"," том, чтобы, если тупицы и"
"388220","390300"," останутся, то это будут умелые"
"390300","391720"," тупицы и храбрые. "
"392480","394100"," Что же, нельзя не сказать,"
"394240","395720"," будто я не ожидал подобного."
"396300","397920"," Мои губы изогнулись в довольной"
"397920","398380"," усмешке."
"399040","401220"," «Кажется, некоторые из старших решили,"
"401340","403560"," что представление недостаточно хорошо для"
"403560","403800"," них. "
"404400","406700"," Скажу так, любой желающий может"
"406700","408180"," выйти сюда в центр круга"
"408180","409860"," и попробовать»."
"409860","411940"," Я замолчал, заставляя толпу затаить"
"411940","412440"," дыхание."
"413080","413980"," Затем закончил. "
"414480","416580"," «Задавите меня духовной силой»."
"416580","418400"," «Господин!» — не стал"
"418400","420060"," молчать один из пришедших недавно"
"420060","420680"," властелинов."
"421200","422360"," Их много набежало в город"
"422360","424200"," пяти метров после отбытия орденцев. "
"424560","426580"," «Как мы посмеем унизить вас,"
"426680","428860"," нашего нанимателя, или даже будущего"
"428860","431100"," главу, поставив на колени?»"
"431100","432480"," «Кто говорит об унижении?"
"433020","434740"," Это опыт, который я, как"
"434740","436600"," младший в возвышении, могу получить"
"436600","437760"," от старших»."
"437760","439020"," Поняв, что не убедил, я"
"439020","439480"," добавил."
"439940","442260"," «Удвоение платы по контракту победителям"
"442260","443760"," и их отряду, если он"
"443760","444080"," есть. "
"444420","445100"," Плачу сразу."
"445560","448460"," Слово главы семьи Сломанного Клинка»."
"448460","449720"," Уж я предложил не то"
"449720","452140"," чтобы жирный, но вполне соблазнительный. "
"452680","454360"," Ровно столько, чтобы парочка самых"
"454360","456620"," безрассудных и невидящих себя в"
"456620","457460"," семье решились."
"458160","459520"," И один из властелинов не"
"459520","460040"," удержался."
"460700","463380"," «Уважаемый Ирал, позвольте поделиться с"
"463380","465820"," вами своим опытом таких схваток». "
"465820","466660"," Я повел рукой."
"467040","467520"," «Прошу."
"468120","470120"," Вот бывшие орденцы и убедятся,"
"470680","471820"," что пока я не хочу,"
"472340","474040"," мало кому удастся поставить меня"
"474040","474960"," на колени». "
